iter	Passed	Remaining
420	2507	3448
421	2510	3438
422	2514	3429
423	2517	3419
424	2520	3410
425	2524	3402
426	2528	3393
427	2533	3385
428	2540	3381
429	2547	3376
430	2571	3395
431	2578	3390
432	2586	3387
433	2595	3385
434	2612	3393
435	2618	3387
436	2624	3380
437	2627	3371
438	2632	3364
439	2636	3355
440	2639	3345
441	2642	3336
442	2646	3327
443	2650	3318
444	2655	3311
445	2659	3303
446	2662	3293
447	2665	3284
448	2668	3274
449	2671	3265
450	2674	3255
451	2677	3245
452	2679	3235
453	2682	3226
454	2685	3216
455	2687	3205
456	2689	3195
457	2692	3186
458	2694	3176
459	2697	3166
460	2699	3155
461	2701	3145
462	2703	3135
463	2706	3126
464	2708	3116
465	2711	3107
466	2714	3098
467	2716	3088
468	2719	3078
469	2721	3068
470	2724	3060
471	2728	3052
472	2732	3044
473	2735	3035
474	2739	3027
475	2748	3025
476	2751	3016
477	2754	3007
478	2759	3001
479	2762	2993
480	2765	2984
481	2768	2975
482	2774	2970
483	2778	2961
484	2781	2953
485	2783	2944
486	2787	2935
487	2791	2928
488	2793	2919
489	2797	2911
490	2800	2903
491	2803	2894
492	2806	2886
493	2809	2877
494	2811	2868
495	2814	2859
496	2816	2850
497	2819	2842
498	2822	2834
499	2825	2825
500	2827	2816
501	2830	2807
502	2832	2798
503	2834	2789
504	2837	2781
505	2839	2772
506	2842	2763
507	2844	2755
508	2847	2746
509	2849	2738
510	2852	2729
511	2854	2721
512	2857	2712
513	2859	2704
514	2862	2695
515	2864	2686
516	2866	2678
517	2869	2669
518	2871	2661
519	2873	2652
520	2875	2644
521	2879	2636
522	2881	2628
523	2884	2619
524	2886	2611
525	2888	2603
526	2891	2594
527	2893	2586
528	2895	2578
529	2898	2569
530	2900	2562
531	2903	2553
532	2905	2545
533	2907	2537
534	2909	2529
535	2912	2520
536	2916	2514
537	2920	2507
538	2923	2500
539	2926	2492
540	2930	2486
541	2934	2479
542	2938	2473
543	2942	2466
544	2945	2458
545	2953	2455
546	2956	2448
547	2959	2441
548	2964	2435
549	2967	2427
550	2970	2420
551	2973	2413
552	2975	2405
553	2980	2399
554	2983	2392
555	2986	2385
556	2989	2377
557	2992	2370
558	2995	2363
559	2998	2355
560	3001	2348
561	3004	2341
562	3007	2334
563	3010	2326
564	3012	2319
565	3015	2312
566	3018	2305
567	3020	2297
568	3023	2290
569	3029	2285
570	3032	2278
571	3034	2270
572	3037	2263
573	3040	2256
574	3042	2249
575	3045	2241
576	3048	2234
577	3050	2227
578	3052	2219
579	3055	2212
580	3057	2205
581	3060	2197
582	3062	2190
583	3064	2183
584	3067	2175
585	3069	2168
586	3071	2161
587	3074	2154
588	3076	2146
589	3078	2139
590	3081	2132
591	3083	2125
592	3085	2117
593	3088	2110
594	3090	2103
595	3093	2096
596	3095	2089
597	3098	2082
598	3100	2075
599	3103	2068
600	3106	2062
601	3111	2057
602	3116	2051
603	3120	2045
604	3124	2040
605	3128	2034
606	3138	2032
607	3144	2027
608	3147	2020
609	3150	2014
610	3153	2007
611	3156	2001
612	3161	1995
613	3164	1989
614	3168	1983
615	3171	1976
616	3175	1971
617	3178	1964
618	3181	1958
619	3184	1951
620	3187	1945
621	3190	1938
622	3193	1932
623	3195	1925
624	3198	1919
625	3200	1912
626	3203	1905
627	3205	1898
628	3208	1892
629	3210	1885
630	3212	1878
631	3214	1871
632	3216	1865
633	3219	1858
634	3221	1851
635	3223	1845
636	3226	1838
637	3228	1832
638	3231	1825
639	3233	1818
640	3235	1812
641	3238	1805
642	3240	1799
643	3243	1792
644	3247	1787
645	3249	1780
646	3252	1774
647	3254	1767
648	3256	1761
649	3258	1754
650	3261	1748
651	3263	1741
652	3265	1735
653	3268	1728
654	3270	1722
655	3272	1715
656	3274	1709
657	3277	1703
658	3279	1696
659	3281	1690
660	3283	1684
661	3286	1677
662	3288	1671
663	3290	1665
664	3292	1658
665	3295	1652
666	3298	1646
667	3302	1641
668	3305	1635
669	3309	1629
670	3312	1624
671	3315	1618
672	3319	1612
673	3326	1609
674	3330	1603
675	3333	1597
676	3336	1591
677	3341	1587
678	3344	1581
679	3347	1575
680	3350	1569
681	3355	1564
682	3358	1558
683	3360	1552
684	3363	1546
685	3367	1541
686	3370	1535
687	3373	1529
688	3376	1523
689	3378	1517
690	3381	1512
691	3385	1506
692	3388	1500
693	3390	1495
694	3393	1489
695	3395	1483
696	3398	1477
697	3400	1471
698	3402	1465
699	3405	1459
700	3407	1453
701	3409	1447
702	3412	1441
703	3414	1435
704	3416	1429
705	3418	1423
706	3421	1417
707	3423	1411
708	3425	1406
709	3428	1400
710	3430	1394
711	3432	1388
712	3434	1382
713	3437	1376
714	3439	1370
715	3441	1365
716	3443	1359
717	3445	1353
718	3448	1347
719	3451	1342
720	3453	1336
721	3455	1330
722	3458	1324
723	3461	1319
724	3463	1313
725	3465	1307
726	3467	1302
727	3470	1296
728	3472	1290
729	3475	1285
730	3477	1279
731	3479	1274
732	3482	1268
733	3485	1262
734	3487	1257
735	3492	1252
736	3495	1247
737	3499	1242
738	3502	1236
739	3505	1231
740	3509	1226
741	3513	1221
742	3518	1216
743	3521	1211
744	3525	1206
745	3528	1201
746	3532	1196
747	3536	1191
748	3539	1186
749	3543	1181
750	3547	1176
751	3551	1171
752	3554	1166
753	3557	1160
754	3561	1155
755	3564	1150
756	3567	1145
757	3570	1139
758	3573	1134
759	3575	1129
760	3578	1123
761	3581	1118
762	3583	1113
763	3586	1107
764	3589	1102
765	3591	1097
766	3593	1091
767	3596	1086
768	3599	1081
769	3601	1075
770	3603	1070
771	3606	1065
772	3608	1059
773	3610	1054
774	3613	1049
775	3615	1043
776	3623	1039
777	3627	1035
778	3631	1030
779	3635	1025
780	3639	1020
781	3642	1015
782	3645	1010
783	3654	1006
784	3657	1001
785	3660	996
786	3663	991
787	3674	988
788	3680	984
789	3690	980
790	3696	976
791	3709	974
792	3720	971
793	3725	966
794	3729	961
795	3737	957
796	3756	956
797	3807	963
798	3827	962
799	3841	960
800	3886	965
801	3947	974
802	3972	974
803	3982	970
804	3999	968
805	4004	963
806	4014	960
807	4019	955
808	4029	951
809	4034	946
810	4044	942
811	4049	937
812	4059	933
813	4064	928
814	4112	933
815	4120	929
816	4128	924
817	4137	920
818	4142	915
819	4150	911
820	4157	906
821	4178	904
822	4188	900
823	4202	897
824	4214	893
825	4240	893
826	4245	888
827	4262	885
828	4271	881
829	4276	875
830	4286	871
831	4294	867
832	4379	878
833	4389	873
834	4393	868
835	4402	863
836	4407	858
837	4427	855
838	4435	851
839	4445	846
840	4452	841
841	4461	837
842	4475	833
843	4483	828
844	4493	824
845	4499	819
846	4504	813
847	4513	809
848	4518	803
849	4527	798
850	4532	793
851	4542	789
852	4548	783
853	4562	779
854	4573	775
855	4577	769
856	4585	765
857	4595	760
858	4601	755
859	4606	749
860	4610	744
861	4616	739
862	4621	733
863	4625	728
864	4631	722
865	4637	717
866	4640	711
867	4646	706
868	4651	701
869	4654	695
870	4658	689
871	4665	684
872	4670	679
873	4673	673
874	4679	668
875	4686	663
876	4692	658
877	4697	652
878	4701	647
879	4706	641
880	4712	636
881	4717	631
882	4724	625
883	4731	620
884	4736	615
885	4746	610
886	4755	605
887	4760	600
888	4764	594
889	4767	589
890	4772	583
891	4779	578
892	4784	573
893	4790	568
894	4795	562
895	4800	557
896	4807	551
897	4812	546
898	4816	541
899	4824	536
900	4832	530
901	4839	525
902	4842	520
903	4845	514
904	4848	508
905	4855	503
906	4859	498
907	4862	492
908	4867	487
909	4872	481
910	4876	476
911	4887	471
912	4891	466
913	4900	461
914	4904	455
915	4909	450
916	4918	445
917	4923	439
918	4933	434
919	4944	429
920	4953	424
921	4958	419
922	4965	414
923	4969	408
924	4973	403
925	4976	397
926	4982	392
927	4986	386
928	4990	381
929	4996	376
930	5000	370
931	5003	365
932	5010	359
933	5014	354
934	5017	348
935	5023	343
936	5029	338
937	5033	332
938	5038	327
939	5043	321
940	5048	316
941	5052	311
942	5058	305
943	5062	300
944	5065	294
945	5071	289
946	5075	284
947	5081	278
948	5087	273
949	5092	268
950	5096	262
951	5103	257
952	5107	251
953	5112	246
954	5119	241
955	5123	235
956	5136	230
957	5141	225
958	5148	220
959	5155	214
960	5165	209
961	5172	204
962	5182	199
963	5187	193
964	5192	188
965	5200	183
966	5205	177
967	5209	172
968	5215	166
969	5219	161
970	5222	155
971	5226	150
972	5232	145
973	5235	139
974	5239	134
975	5245	128
976	5250	123
977	5255	118
978	5262	112
979	5267	107
980	5273	102
981	5278	96
982	5282	91
983	5287	85
984	5294	80
985	5298	75
986	5302	69
987	5308	64
988	5312	59
989	5317	53
990	5324	48
991	5415	43
992	5424	38
993	5435	32
994	5441	27
995	5452	21
996	5459	16
997	5465	10
998	5483	5
999	5488	0
