iter	RMSE
167	43555.83886
168	43488.12728
169	43459.28306
170	43424.40311
171	43367.52234
172	43328.2025
173	43273.61502
174	43246.61141
175	43207.0676
176	43151.06576
177	43105.50665
178	43074.25254
179	43039.99615
180	43001.54974
181	42948.58507
182	42902.24665
183	42866.28104
184	42835.03519
185	42739.45877
186	42697.46231
187	42664.17603
188	42610.23436
189	42585.2269
190	42537.52668
191	42507.53746
192	42494.27685
193	42451.34881
194	42389.46878
195	42364.49794
196	42318.22576
197	42260.14581
198	42219.75943
199	42182.26014
200	42146.29612
201	42118.48495
202	42096.41695
203	42065.84499
204	42025.15886
205	41993.71464
206	41944.45236
207	41916.09434
208	41884.99939
209	41823.32539
210	41786.04524
211	41754.84678
212	41674.86567
213	41634.80513
214	41600.86368
215	41550.22886
216	41510.17526
217	41457.55418
218	41425.7442
219	41393.25969
220	41349.07316
221	41314.71917
222	41276.14026
223	41251.26661
224	41224.48346
225	41185.67644
226	41160.17377
227	41118.17038
228	41075.40322
229	41043.96428
230	41016.26868
231	40985.34867
232	40961.73149
233	40908.68325
234	40861.89313
235	40844.51477
236	40828.04977
237	40790.03499
238	40745.35299
239	40715.95765
240	40677.57149
241	40651.31151
242	40617.69752
243	40589.85646
244	40563.4734
245	40521.93286
246	40486.75833
247	40457.40904
248	40433.6297
249	40412.92921
250	40399.73957
251	40364.29711
252	40328.8712
253	40317.5255
254	40291.67121
255	40255.6446
256	40235.90978
257	40213.90198
258	40200.2401
259	40169.26512
260	40149.32042
261	40114.3412
262	40074.87382
263	40022.34661
264	40000.8247
265	39967.95606
266	39941.70351
267	39907.08751
268	39883.52425
269	39854.81351
270	39842.34402
271	39828.46775
272	39795.17748
273	39774.30913
274	39752.23631
275	39717.7578
276	39700.61973
277	39651.85223
278	39621.86636
279	39604.33694
280	39575.57144
281	39534.33246
282	39503.48939
283	39479.34625
284	39465.81827
285	39445.87894
286	39417.51375
287	39392.1597
288	39361.44431
289	39343.66569
290	39309.52307
291	39290.19942
292	39269.15205
293	39258.36503
294	39238.11265
295	39215.14647
296	39190.80519
297	39161.79905
298	39122.99406
299	39111.81879
300	39086.11032
301	39076.67676
302	39048.20281
303	39022.67191
304	39000.57472
305	38985.31209
306	38960.26509
307	38942.20861
308	38918.19926
309	38901.99305
310	38876.67917
311	38845.13042
312	38820.11799
313	38788.77726
314	38759.66593
315	38737.16699
316	38715.95177
317	38694.73852
318	38670.70047
319	38652.83242
320	38638.4478
321	38628.67037
322	38606.63235
323	38581.61871
324	38550.98625
325	38534.90109
326	38501.57295
327	38466.6965
328	38451.75071
329	38437.23345
330	38417.62726
331	38398.83852
332	38383.13389
333	38356.11178
334	38344.29352
335	38324.08486
336	38302.72147
337	38281.00583
338	38264.26326
339	38234.26523
340	38226.65957
341	38199.52833
342	38187.46971
343	38168.39029
344	38150.12688
345	38124.77813
346	38112.53027
347	38104.29273
348	38089.23664
349	38079.63818
350	38060.84621
351	38042.72772
352	38020.7199
353	38007.44769
354	37979.49178
355	37948.68318
356	37929.79899
357	37909.08
358	37879.13651
359	37849.62051
360	37833.06859
361	37804.14419
362	37796.53994
363	37763.27992
364	37745.3873
365	37721.70973
366	37711.58976
367	37694.558
368	37677.18456
369	37655.4936
370	37636.63607
371	37611.15065
372	37594.21151
373	37576.61587
374	37550.03075
375	37529.52793
376	37504.50648
377	37488.03643
378	37467.77487
379	37451.95835
380	37440.49626
381	37412.99851
382	37386.81274
383	37372.9904
384	37357.08784
385	37342.55416
386	37326.37534
387	37306.83555
388	37287.71457
389	37268.96873
390	37254.03501
391	37236.86809
392	37213.16524
393	37196.97335
394	37174.26321
395	37158.73544
396	37133.6002
397	37116.96487
398	37098.36092
399	37090.19278
400	37075.92463
401	37061.85398
402	37047.70131
403	37024.85647
404	36994.086
405	36983.44837
406	36966.50223
407	36959.42508
408	36942.82363
409	36928.75876
410	36916.30254
411	36896.57314
412	36874.60043
413	36865.24523
414	36849.29134
415	36835.86458
416	36805.93105
417	36780.33263
418	36761.29569
419	36743.62164
420	36727.84041
421	36717.14482
422	36695.75612
423	36687.3491
424	36671.93935
425	36653.63011
426	36636.4333
427	36626.81843
428	36613.60399
429	36594.97112
430	36584.10719
431	36571.64254
432	36556.53211
433	36535.75608
434	36521.13717
435	36500.60557
436	36483.21222
437	36465.40299
438	36439.5982
439	36425.05228
440	36406.4606
441	36398.41621
442	36391.29493
443	36370.39837
444	36349.84723
445	36338.60379
446	36324.00562
447	36313.61218
448	36293.87708
449	36281.47221
450	36266.68323
451	36256.50796
452	36241.32165
453	36229.3824
454	36211.83893
455	36202.9598
456	36178.81273
457	36167.46093
458	36159.78902
459	36141.22891
460	36130.29369
461	36123.85594
462	36103.52818
463	36086.3241
464	36064.85614
465	36050.83213
466	36037.90423
467	36028.00502
468	36014.3149
469	36004.6368
470	35999.01634
471	35986.66082
472	35975.18949
473	35958.46907
474	35944.34687
475	35936.43372
476	35920.99395
477	35898.88954
478	35878.73407
479	35861.16787
480	35851.08881
481	35839.63633
482	35831.23392
483	35813.75446
484	35798.85918
485	35788.09493
486	35764.27277
487	35735.4794
488	35726.66662
489	35719.57868
490	35702.65841
491	35680.42538
492	35670.50968
493	35660.27245
494	35653.4792
495	35639.41385
496	35622.19345
497	35608.53243
498	35599.82699
499	35582.61754
500	35572.23348
501	35563.75823
502	35551.90193
503	35536.46429
504	35516.41134
505	35501.55566
506	35489.73582
507	35476.8831
508	35471.98905
509	35445.65745
510	35429.98762
511	35416.96711
512	35400.01811
513	35388.10772
514	35378.13856
515	35367.9459
516	35352.10947
517	35336.09451
518	35323.49927
519	35314.00276
520	35293.06805
521	35280.11704
522	35264.28671
523	35252.07863
524	35240.54378
525	35218.10954
526	35202.02212
527	35192.83572
528	35184.22439
529	35170.80833
530	35159.88204
531	35154.14559
532	35142.63059
533	35135.11671
534	35126.7666
535	35116.40475
536	35101.0537
537	35091.57162
538	35083.43
539	35077.39878
540	35063.13302
541	35051.33778
542	35041.23679
543	35027.69611
544	35008.16237
545	34992.75338
546	34983.55526
547	34976.53971
548	34962.00503
549	34954.45927
550	34944.9344
551	34933.93838
552	34928.81399
553	34918.59817
554	34907.17837
555	34886.91479
556	34880.78342
557	34871.40376
558	34864.73241
559	34853.00606
560	34843.2806
561	34829.07273
562	34817.34212
563	34807.23289
564	34793.62051
565	34777.40633
566	34771.03125
567	34756.94851
568	34748.31941
569	34734.50638
570	34721.31857
571	34703.56985
572	34693.54347
573	34682.1208
574	34660.60753
575	34648.46483
576	34641.33318
577	34631.28224
578	34614.79445
579	34600.31445
580	34580.662
581	34560.10007
582	34546.67589
583	34537.68404
584	34526.59675
585	34519.07653
586	34503.23532
587	34496.30145
588	34482.14598
589	34466.63853
590	34459.84852
591	34448.17771
592	34442.03882
593	34434.47451
594	34418.05301
595	34408.58672
596	34400.63886
597	34387.3646
598	34373.75931
599	34353.32885
600	34339.74515
601	34327.861
602	34314.39071
603	34303.91619
604	34291.7474
605	34277.99623
606	34269.97373
607	34257.35583
608	34244.99003
609	34235.66851
610	34216.25127
611	34202.98723
612	34190.65902
613	34181.83503
614	34168.87812
615	34155.56749
616	34146.36781
617	34135.33539
618	34125.50902
619	34114.64521
620	34102.28108
621	34088.6791
622	34073.65232
623	34067.25149
624	34058.88347
625	34046.21677
626	34034.41375
627	34024.83145
628	34020.66165
629	34013.06093
630	34004.02729
631	33988.81994
632	33982.83669
633	33966.90858
634	33957.19624
635	33949.48829
636	33941.97243
637	33930.38671
638	33917.49105
639	33911.35025
640	33902.92117
641	33895.39146
642	33882.81143
643	33873.93855
644	33867.1143
645	33858.6395
646	33845.64694
647	33833.68022
648	33824.78097
649	33820.31824
650	33804.52461
651	33788.34995
652	33779.89145
653	33770.68435
654	33764.49184
655	33759.51019
656	33754.52658
657	33750.80376
658	33742.22929
659	33733.58685
660	33720.0766
661	33705.64559
662	33690.862
663	33682.08505
664	33668.28194
665	33662.35376
666	33647.11051
667	33637.79116
668	33631.1464
669	33623.35422
670	33613.8661
671	33605.25397
672	33596.7729
673	33587.02421
674	33576.47193
675	33564.29586
676	33555.14861
677	33546.94779
678	33538.71697
679	33524.45252
680	33507.00641
681	33496.47351
682	33488.056
683	33478.49732
684	33464.97231
685	33451.512
686	33444.89475
687	33440.46438
688	33432.67205
689	33422.96967
690	33416.0258
691	33399.84387
692	33390.9799
693	33381.79824
694	33365.79476
695	33353.9105
696	33348.88014
697	33341.4368
698	33328.04563
699	33314.68425
700	33310.03744
701	33286.89417
702	33277.06075
703	33269.36458
704	33262.64708
705	33252.67739
706	33247.94601
707	33232.92183
708	33225.30122
709	33212.77102
710	33201.45398
711	33197.09898
712	33184.51695
713	33172.72695
714	33159.06736
715	33155.24092
716	33148.48335
717	33140.94331
718	33133.13029
719	33122.68788
720	33115.18723
721	33110.5657
722	33092.476
723	33077.19852
724	33063.89112
725	33060.72388
726	33053.0751
727	33037.68864
728	33030.37246
729	33015.21131
730	33005.35888
731	32994.49247
732	32984.57966
733	32978.9147
734	32974.19343
735	32962.79079
736	32954.33778
737	32946.6673
738	32934.89814
739	32925.45793
740	32922.77275
741	32918.60309
742	32906.87764
743	32893.74366
744	32882.83212
745	32877.73571
746	32865.24236
747	32861.52622
748	32851.47923
749	32841.3055
750	32828.62931
751	32819.21873
752	32809.94313
753	32800.31206
754	32791.055
755	32784.11018
756	32774.79695
757	32759.68402
758	32754.1587
759	32745.50993
760	32734.59623
761	32720.97383
762	32712.44721
763	32709.55244
764	32700.4236
765	32688.12816
766	32679.24141
767	32672.88776
768	32665.29238
769	32658.46018
770	32652.78246
771	32647.5649
772	32637.14734
773	32631.05184
774	32624.95654
775	32615.13574
776	32611.19211
777	32602.77725
778	32596.92266
779	32590.38432
780	32581.35229
781	32572.36434
782	32559.38682
783	32551.06689
784	32540.81128
785	32524.91299
786	32508.50911
787	32494.96095
788	32488.93221
789	32479.93524
790	32468.86123
791	32457.97737
792	32450.54126
793	32443.89155
794	32432.1752
795	32426.37231
796	32416.29573
797	32404.4348
798	32394.13196
799	32387.16665
800	32381.50779
801	32371.90592
802	32360.11202
803	32346.27246
804	32337.58405
805	32330.56625
806	32326.28986
807	32321.65642
808	32315.17475
809	32304.7927
810	32296.86879
811	32289.94574
812	32277.28557
813	32272.33575
814	32264.62708
815	32256.19944
816	32242.35837
817	32232.69574
818	32226.91401
819	32220.09304
820	32214.65326
821	32205.68644
822	32194.57215
823	32183.89047
824	32171.59385
825	32167.33145
826	32158.16037
827	32151.72978
828	32141.57592
829	32127.55849
830	32120.49115
831	32115.62697
832	32105.62194
833	32088.75206
834	32079.29255
835	32062.95342
836	32057.99294
837	32048.37628
838	32038.9343
839	32029.86752
840	32019.21239
841	32010.5327
842	31999.86791
843	31996.67527
844	31984.7954
845	31974.30541
846	31961.51195
847	31952.04527
848	31947.73913
849	31942.76239
850	31932.35417
851	31923.14834
852	31915.87578
853	31905.85116
854	31897.81816
855	31888.6151
856	31881.46552
857	31868.65408
858	31862.64678
859	31855.49635
860	31846.37977
861	31839.31597
862	31829.5069
863	31817.01734
864	31809.03666
865	31798.76634
866	31783.06581
867	31771.56384
868	31763.96574
869	31755.73175
870	31746.35588
871	31735.04615
872	31724.8583
873	31717.00681
874	31710.70395
875	31697.97079
876	31691.3071
877	31685.36058
878	31678.63512
879	31664.22331
880	31657.78625
881	31649.4042
882	31640.90764
883	31630.27089
884	31619.47954
885	31613.91869
886	31596.42047
887	31586.81963
888	31575.57613
889	31565.86622
890	31557.63089
891	31545.7707
892	31530.15749
893	31526.50057
894	31523.03507
895	31516.36979
896	31509.39031
897	31503.08006
898	31499.91785
899	31493.70501
900	31484.83109
901	31476.94651
902	31470.84493
903	31458.8046
904	31453.08977
905	31446.99363
906	31433.66148
907	31426.64631
908	31419.83025
909	31413.26248
910	31405.19261
911	31398.12101
912	31392.30754
913	31379.20843
914	31366.20108
915	31354.48459
916	31346.10869
917	31340.40616
918	31334.77619
919	31320.89691
920	31315.405
921	31310.95854
922	31305.17751
923	31300.75866
924	31295.50088
925	31291.03186
926	31282.52181
927	31271.26727
928	31264.84032
929	31258.10294
930	31251.08856
931	31244.07995
932	31237.09558
933	31229.09992
934	31221.20261
935	31212.42614
936	31205.51679
937	31198.05229
938	31191.01092
939	31183.5065
940	31168.47758
941	31163.41405
942	31150.10302
943	31139.82564
944	31135.80806
945	31127.51032
946	31115.69516
947	31108.05951
948	31097.67339
949	31092.2828
950	31083.85029
951	31075.98211
952	31067.17513
953	31058.88835
954	31046.80869
955	31036.35831
956	31028.03786
957	31020.94723
958	31016.75302
959	31008.84801
960	30998.58935
961	30991.47586
962	30979.00975
963	30972.395
964	30965.84601
965	30959.38484
966	30949.73733
967	30940.59308
968	30933.4709
969	30926.11821
970	30918.7471
971	30911.39362
972	30904.90092
973	30896.73711
974	30889.17687
975	30875.75747
976	30861.30956
977	30857.99001
978	30847.30789
979	30841.16477
980	30835.95045
981	30825.02903
982	30818.18789
983	30808.81827
984	30804.30733
985	30796.54729
986	30792.9004
987	30782.86051
988	30779.53922
989	30773.11972
990	30763.8873
991	30758.01858
992	30753.16222
993	30744.32351
994	30734.8475
995	30728.79172
996	30719.7173
997	30712.46124
998	30702.58761
999	30698.57158
